,ln_fl_nonfarm,ln_fl_nonfarm,ln_fl_nonfarm,ln_fl_nonfarm
,,,,
ln_fl_lf,0.239,0.399,0.677*,0.538*
,(0.93),(1.47),(2.51),(2.04)
,,,,
L.ln_fl_lf,-0.000633,-0.0604,0.0217,-0.0132
,(-0.00),(-0.17),(0.06),(-0.04)
,,,,
L2.ln_fl_lf,0.427,0.0361,0.0124,-0.0174
,(1.25),(0.10),(0.03),(-0.05)
,,,,
L3.ln_fl_lf,0.660,0.110,0.183,0.309
,(1.93),(0.30),(0.67),(0.83)
,,,,
L4.ln_fl_lf,-0.255,0.00885,,0.0243
,(-0.74),(0.02),,(0.08)
,,,,
L5.ln_fl_lf,-0.531,0.0333,,
,(-1.55),(0.09),,
,,,,
L6.ln_fl_lf,-0.102,0.146,,
,(-0.30),(0.39),,
,,,,
L7.ln_fl_lf,0.209,0.174,,
,(0.60),(0.47),,
,,,,
L8.ln_fl_lf,-0.153,-0.0242,,-0.132
,(-0.44),(-0.06),,(-0.92)
,,,,
L9.ln_fl_lf,0.378,0.110,,
,(1.10),(0.29),,
,,,,
L10.ln_fl_lf,-0.000297,0.157,,
,(-0.00),(0.41),,
,,,,
L11.ln_fl_lf,0.0117,-0.231,,
,(0.03),(-0.61),,
,,,,
L12.ln_fl_lf,0.264,0.0559,,
,(1.02),(0.20),,
,,,,
ln_fl_bp,0.0200***,0.0179***,0.0220***,0.00998*
,(4.25),(4.11),(5.03),(2.42)
,,,,
L.ln_fl_bp,0.00910,0.00856,0.00999*,0.00831
,(1.81),(1.81),(2.19),(1.91)
,,,,
L2.ln_fl_bp,0.0121*,0.00629,0.00508,0.00386
,(2.33),(1.30),(1.11),(0.85)
,,,,
L3.ln_fl_bp,0.00308,0.00673,0.00385,0.00568
,(0.57),(1.36),(0.86),(1.27)
,,,,
L4.ln_fl_bp,0.00156,0.00414,,0.00462
,(0.29),(0.84),,(1.06)
,,,,
L5.ln_fl_bp,0.00631,0.00388,,
,(1.16),(0.78),,
,,,,
L6.ln_fl_bp,0.00648,0.00486,,
,(1.18),(0.97),,
,,,,
L7.ln_fl_bp,0.00215,0.00471,,
,(0.40),(0.96),,