,ln_fl_nonfarm,ln_fl_nonfarm
,,
ln_fl_lf,1.116***,0.916***
,(120.72),(25.93)
,,
ln_fl_bp,0.0441***,0.0351***
,(13.92),(18.41)
,,
ln_us_epr,0.784***,1.236***
,(13.35),(25.95)
,,
1.monthly,,0
,,(.)
2.monthly,,0.00312
,,(1.00)
3.monthly,,-0.00323
,,(-1.04)
4.monthly,,-0.00939**
,,(-3.00)
5.monthly,,-0.0212***
,,(-6.77)
6.monthly,,-0.0436***
,,(-13.78)
7.monthly,,-0.0611***
,,(-19.10)
8.monthly,,-0.0443***
,,(-14.04)
9.monthly,,-0.0315***
,,(-10.01)
10.monthly,,-0.0278***
,,(-8.77)
11.monthly,,-0.00898**
,,(-2.80)
12.monthly,,0.000800
,,(0.25)
,,
datec,,0.0000118***
,,(6.52)
,,
_cons,-12.56***,-11.32***
,(-38.28),(-26.18)
,,
N,383,383
,,
t statistics in parentheses,,
"=""* p<0.05", ** p<0.01," *** p<0.001"""